,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
0,0,1,1,4,200,20,500
1,0,1,1,8,200,20,500
2,0,1,1,12,200,20,500
3,0,1,1,4,200,40,500
4,0,1,1,8,200,40,500
5,0,1,1,12,200,40,500
6,0,1,1,4,200,60,500
7,0,1,1,8,200,60,500
8,0,1,1,12,200,60,500
9,0,1,1,4,200,80,500
10,0,1,1,8,200,80,500
11,0,1,1,12,200,80,500
12,0,1,1,4,100,20,500
13,0,1,1,8,100,20,500
14,0,1,1,12,100,20,500
15,0,1,1,4,100,40,500
16,0,1,1,8,100,40,500
17,0,1,1,12,100,40,500
18,0,1,1,4,100,60,500
19,0,1,1,8,100,60,500
20,0,1,1,12,100,60,500
21,0,1,1,4,100,80,500
22,0,1,1,8,100,80,500
23,0,1,1,12,100,80,500
24,0,1,1,4,50,20,500
25,0,1,1,8,50,20,500
26,0,1,1,12,50,20,500
27,0,1,1,4,50,40,500
28,0,1,1,8,50,40,500
29,0,1,1,12,50,40,500
30,0,1,1,4,50,60,500
31,0,1,1,8,50,60,500
32,0,1,1,12,50,60,500
33,0,1,1,4,50,80,500
34,0,1,1,8,50,80,500
35,0,1,1,12,50,80,500
36,0,1,1,4,10,20,500
37,0,1,1,8,10,20,500
38,0,1,1,12,10,20,500
39,0,1,1,4,10,40,500
40,0,1,1,8,10,40,500
41,0,1,1,12,10,40,500
42,0,1,1,4,10,60,500
43,0,1,1,8,10,60,500
44,0,1,1,12,10,60,500
45,0,1,1,4,10,80,500
46,0,1,1,8,10,80,500
47,0,1,1,12,10,80,500
48,0,1,1,4,1,20,500
49,0,1,1,8,1,20,500
50,0,1,1,12,1,20,500
51,0,1,1,4,1,40,500
52,0,1,1,8,1,40,500
53,0,1,1,12,1,40,500
54,0,1,1,4,1,60,500
55,0,1,1,8,1,60,500
56,0,1,1,12,1,60,500
57,0,1,1,4,1,80,500
58,0,1,1,8,1,80,500
59,0,1,1,12,1,80,500
60,0,1,1,4,200,20,100
61,0,1,1,8,200,20,100
62,0,1,1,12,200,20,100
63,0,1,1,4,200,40,100
64,0,1,1,8,200,40,100
65,0,1,1,12,200,40,100
66,0,1,1,4,200,60,100
67,0,1,1,8,200,60,100
68,0,1,1,12,200,60,100
69,0,1,1,4,200,80,100
70,0,1,1,8,200,80,100
71,0,1,1,12,200,80,100
72,0,1,1,4,100,20,100
73,0,1,1,8,100,20,100
74,0,1,1,12,100,20,100
75,0,1,1,4,100,40,100
76,0,1,1,8,100,40,100
77,0,1,1,12,100,40,100
78,0,1,1,4,100,60,100
79,0,1,1,8,100,60,100
80,0,1,1,12,100,60,100
81,0,1,1,4,100,80,100
82,0,1,1,8,100,80,100
83,0,1,1,12,100,80,100
84,0,1,1,4,50,20,100
85,0,1,1,8,50,20,100
86,0,1,1,12,50,20,100
87,0,1,1,4,50,40,100
88,0,1,1,8,50,40,100
89,0,1,1,12,50,40,100
90,0,1,1,4,50,60,100
91,0,1,1,8,50,60,100
92,0,1,1,12,50,60,100
93,0,1,1,4,50,80,100
94,0,1,1,8,50,80,100
95,0,1,1,12,50,80,100
96,0,1,1,4,10,20,100
97,0,1,1,8,10,20,100
98,0,1,1,12,10,20,100
99,0,1,1,4,10,40,100
100,0,1,1,8,10,40,100
101,0,1,1,12,10,40,100
102,0,1,1,4,10,60,100
103,0,1,1,8,10,60,100
104,0,1,1,12,10,60,100
105,0,1,1,4,10,80,100
106,0,1,1,8,10,80,100
107,0,1,1,12,10,80,100
108,0,1,1,4,1,20,100
109,0,1,1,8,1,20,100
110,0,1,1,12,1,20,100
111,0,1,1,4,1,40,100
112,0,1,1,8,1,40,100
113,0,1,1,12,1,40,100
114,0,1,1,4,1,60,100
115,0,1,1,8,1,60,100
116,0,1,1,12,1,60,100
117,0,1,1,4,1,80,100
118,0,1,1,8,1,80,100
119,0,1,1,12,1,80,100
120,0,1,1,4,200,20,10
121,0,1,1,8,200,20,10
122,0,1,1,12,200,20,10
123,0,1,1,4,200,40,10
124,0,1,1,8,200,40,10
125,0,1,1,12,200,40,10
126,0,1,1,4,200,60,10
127,0,1,1,8,200,60,10
128,0,1,1,12,200,60,10
129,0,1,1,4,200,80,10
130,0,1,1,8,200,80,10
131,0,1,1,12,200,80,10
132,0,1,1,4,100,20,10
133,0,1,1,8,100,20,10
134,0,1,1,12,100,20,10
135,0,1,1,4,100,40,10
136,0,1,1,8,100,40,10
137,0,1,1,12,100,40,10
138,0,1,1,4,100,60,10
139,0,1,1,8,100,60,10
140,0,1,1,12,100,60,10
141,0,1,1,4,100,80,10
142,0,1,1,8,100,80,10
143,0,1,1,12,100,80,10
144,0,1,1,4,50,20,10
145,0,1,1,8,50,20,10
146,0,1,1,12,50,20,10
147,0,1,1,4,50,40,10
148,0,1,1,8,50,40,10
149,0,1,1,12,50,40,10
150,0,1,1,4,50,60,10
151,0,1,1,8,50,60,10
152,0,1,1,12,50,60,10
153,0,1,1,4,50,80,10
154,0,1,1,8,50,80,10
155,0,1,1,12,50,80,10
156,0,1,1,4,10,20,10
157,0,1,1,8,10,20,10
158,0,1,1,12,10,20,10
159,0,1,1,4,10,40,10
160,0,1,1,8,10,40,10
161,0,1,1,12,10,40,10
162,0,1,1,4,10,60,10
163,0,1,1,8,10,60,10
164,0,1,1,12,10,60,10
165,0,1,1,4,10,80,10
166,0,1,1,8,10,80,10
167,0,1,1,12,10,80,10
168,0,1,1,4,1,20,10
169,0,1,1,8,1,20,10
170,0,1,1,12,1,20,10
171,0,1,1,4,1,40,10
172,0,1,1,8,1,40,10
173,0,1,1,12,1,40,10
174,0,1,1,4,1,60,10
175,0,1,1,8,1,60,10
176,0,1,1,12,1,60,10
177,0,1,1,4,1,80,10
178,0,1,1,8,1,80,10
179,0,1,1,12,1,80,10
180,1,1,2,4,200,20,500
181,1,1,2,8,200,20,500
182,1,1,2,12,200,20,500
183,1,1,2,4,200,40,500
184,1,1,2,8,200,40,500
185,1,1,2,12,200,40,500
186,1,1,2,4,200,60,500
187,1,1,2,8,200,60,500
188,1,1,2,12,200,60,500
189,1,1,2,4,200,80,500
190,1,1,2,8,200,80,500
191,1,1,2,12,200,80,500
192,1,1,2,4,100,20,500
193,1,1,2,8,100,20,500
194,1,1,2,12,100,20,500
195,1,1,2,4,100,40,500
196,1,1,2,8,100,40,500
