P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,1,9.3028,3,10,36,1,0.292666667,-7.193333333,4,0.199600798,20,0.497512438
0,1,9.3028,3,10,36,1,0.187666667,-5.036666667,8,0.199600798,20,0.497512438
0,1,9.3028,3,10,36,1,0.408666667,-0.522666667,12,0.199600798,20,0.497512438
0,1,9.3028,3,10,36,1,0.359666667,-4.42,4,0.199600798,40,0.497512438
0,1,9.3028,3,10,36,1,0.308666667,-3.686666667,8,0.199600798,40,0.497512438
0,1,9.3028,3,10,36,1,0.374333333,-2.553333333,12,0.199600798,40,0.497512438
0,1,9.3028,3,10,36,1,0.257,-1.06,4,0.199600798,60,0.497512438
0,1,9.3028,3,10,36,1,0.367333333,1.177333333,8,0.199600798,60,0.497512438
0,1,9.3028,3,10,36,1,0.301,-0.068333333,12,0.199600798,60,0.497512438
0,1,9.3028,3,10,36,1,0.5935,-24.26666667,4,0.199600798,80,0.497512438
0,1,9.3028,3,10,36,1,0.445,-14.43333333,8,0.199600798,80,0.497512438
0,1,9.3028,3,10,36,1,0.466166667,-1.853333333,12,0.199600798,80,0.497512438
0,1,9.3028,3,10,36,1,0.062333333,-9.85,4,0.199600798,20,0.99009901
0,1,9.3028,3,10,36,1,0.177666667,-4.376666667,8,0.199600798,20,0.99009901
0,1,9.3028,3,10,36,1,0.699333333,-1.413,12,0.199600798,20,0.99009901
0,1,9.3028,3,10,36,1,0.298,-4.306666667,4,0.199600798,40,0.99009901
0,1,9.3028,3,10,36,1,0.319666667,-1.85,8,0.199600798,40,0.99009901
0,1,9.3028,3,10,36,1,0.671,-4.253333333,12,0.199600798,40,0.99009901
0,1,9.3028,3,10,36,1,0.285666667,0.728366667,4,0.199600798,60,0.99009901
0,1,9.3028,3,10,36,1,0.286333333,-0.417,8,0.199600798,60,0.99009901
0,1,9.3028,3,10,36,1,0.296333333,-2.663333333,12,0.199600798,60,0.99009901
0,1,9.3028,3,10,36,1,0.565833333,-25.4,4,0.199600798,80,0.99009901
0,1,9.3028,3,10,36,1,0.429666667,-17.4,8,0.199600798,80,0.99009901
0,1,9.3028,3,10,36,1,0.270666667,-8.583333333,12,0.199600798,80,0.99009901
0,1,9.3028,3,10,36,1,0.301666667,-6.4,4,0.199600798,20,1.960784314
0,1,9.3028,3,10,36,1,0.512666667,-3.806666667,8,0.199600798,20,1.960784314
0,1,9.3028,3,10,36,1,0.621666667,-1.361666667,12,0.199600798,20,1.960784314
0,1,9.3028,3,10,36,1,0.463333333,-5.183333333,4,0.199600798,40,1.960784314
0,1,9.3028,3,10,36,1,0.442333333,-2.506666667,8,0.199600798,40,1.960784314
0,1,9.3028,3,10,36,1,0.252,-2.166666667,12,0.199600798,40,1.960784314
0,1,9.3028,3,10,36,1,0.283333333,0.091,4,0.199600798,60,1.960784314
0,1,9.3028,3,10,36,1,0.240333333,-0.125666667,8,0.199600798,60,1.960784314
0,1,9.3028,3,10,36,1,0.281333333,0.407333333,12,0.199600798,60,1.960784314
0,1,9.3028,3,10,36,1,0.537333333,-25.33333333,4,0.199600798,80,1.960784314
0,1,9.3028,3,10,36,1,0.436166667,-6.63,8,0.199600798,80,1.960784314
0,1,9.3028,3,10,36,1,0.323,-11.83333333,12,0.199600798,80,1.960784314
0,1,9.3028,3,10,36,1,0.320333333,-4.81,4,0.199600798,20,9.090909091
0,1,9.3028,3,10,36,1,0.568333333,-3.45,8,0.199600798,20,9.090909091
0,1,9.3028,3,10,36,1,0.293,-0.677333333,12,0.199600798,20,9.090909091
0,1,9.3028,3,10,36,1,0.251,1.363333333,4,0.199600798,40,9.090909091
0,1,9.3028,3,10,36,1,0.263,-1.420666667,8,0.199600798,40,9.090909091
0,1,9.3028,3,10,36,1,0.273666667,-2.366666667,12,0.199600798,40,9.090909091
0,1,9.3028,3,10,36,1,0.252666667,-1.566666667,4,0.199600798,60,9.090909091
0,1,9.3028,3,10,36,1,0.257333333,-2.063333333,8,0.199600798,60,9.090909091
0,1,9.3028,3,10,36,1,0.268333333,-0.186,12,0.199600798,60,9.090909091
0,1,9.3028,3,10,36,1,0.3755,-22.66666667,4,0.199600798,80,9.090909091
0,1,9.3028,3,10,36,1,0.288833333,-0.437,8,0.199600798,80,9.090909091
0,1,9.3028,3,10,36,1,0.234333333,-2.24,12,0.199600798,80,9.090909091
0,1,9.3028,3,10,36,1,0.579,-19.73333333,4,0.199600798,20,50.0
0,1,9.3028,3,10,36,1,0.492333333,-3.413333333,8,0.199600798,20,50.0
0,1,9.3028,3,10,36,1,0.215333333,-2.423333333,12,0.199600798,20,50.0
0,1,9.3028,3,10,36,1,0.760333333,-25.56666667,4,0.199600798,40,50.0
0,1,9.3028,3,10,36,1,0.693666667,-15.7,8,0.199600798,40,50.0
0,1,9.3028,3,10,36,1,0.461,-4.87,12,0.199600798,40,50.0
0,1,9.3028,3,10,36,1,0.716333333,-28.26666667,4,0.199600798,60,50.0
0,1,9.3028,3,10,36,1,0.147333333,-17.83333333,8,0.199600798,60,50.0
0,1,9.3028,3,10,36,1,0.683333333,-5.81,12,0.199600798,60,50.0
0,1,9.3028,3,10,36,1,0.131333333,-6.776666667,4,0.199600798,80,50.0
0,1,9.3028,3,10,36,1,0.151833333,-5.44,8,0.199600798,80,50.0
0,1,9.3028,3,10,36,1,0.102,-4.47,12,0.199600798,80,50.0
0,1,9.3028,3,10,36,1,0.964,-1.836666667,4,0.99009901,20,0.497512438
0,1,9.3028,3,10,36,1,0.518,-1.497333333,8,0.99009901,20,0.497512438
0,1,9.3028,3,10,36,1,0.349333333,-1.007333333,12,0.99009901,20,0.497512438
0,1,9.3028,3,10,36,1,0.609333333,-1.843333333,4,0.99009901,40,0.497512438
0,1,9.3028,3,10,36,1,0.548,-0.593366667,8,0.99009901,40,0.497512438
0,1,9.3028,3,10,36,1,0.46,-7.61,12,0.99009901,40,0.497512438
0,1,9.3028,3,10,36,1,0.504666667,-4.72,4,0.99009901,60,0.497512438
0,1,9.3028,3,10,36,1,0.482666667,-3.62,8,0.99009901,60,0.497512438
0,1,9.3028,3,10,36,1,0.325666667,-4.233333333,12,0.99009901,60,0.497512438
0,1,9.3028,3,10,36,1,0.144666667,-2.0,4,0.99009901,80,0.497512438
0,1,9.3028,3,10,36,1,0.213666667,-2.613333333,8,0.99009901,80,0.497512438
0,1,9.3028,3,10,36,1,0.112,-0.015666667,12,0.99009901,80,0.497512438
0,1,9.3028,3,10,36,1,0.699333333,-2.063333333,4,0.99009901,20,0.99009901
0,1,9.3028,3,10,36,1,0.447,-1.543333333,8,0.99009901,20,0.99009901
0,1,9.3028,3,10,36,1,0.669666667,-1.906666667,12,0.99009901,20,0.99009901
0,1,9.3028,3,10,36,1,0.441,-1.441,4,0.99009901,40,0.99009901
0,1,9.3028,3,10,36,1,0.641666667,-1.497333333,8,0.99009901,40,0.99009901
0,1,9.3028,3,10,36,1,0.624,-4.113333333,12,0.99009901,40,0.99009901
0,1,9.3028,3,10,36,1,0.565,-3.46,4,0.99009901,60,0.99009901
