3.000000000000000000e+00,4.000000000000000000e+00,5.131670194948623198e-02,2.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,2.254033307585167067e-01,2.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,2.354619068678437399e-01,3.000000000000000000e+00
7.000000000000000000e+00,1.100000000000000000e+01,5.171755434493195969e-01,2.000000000000000000e+00
5.000000000000000000e+00,1.400000000000000000e+01,5.596711982363461457e-01,3.000000000000000000e+00
6.000000000000000000e+00,1.600000000000000000e+01,6.961598918604179342e-01,3.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+01,7.484406960574933043e-01,2.000000000000000000e+00
9.000000000000000000e+00,1.900000000000000000e+01,9.315356903033424896e-01,3.000000000000000000e+00
1.500000000000000000e+01,1.700000000000000000e+01,9.970996212788740820e-01,6.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+01,1.023991135236757000e+00,4.000000000000000000e+00
1.800000000000000000e+01,2.200000000000000000e+01,1.155241437464346266e+00,7.000000000000000000e+00
2.100000000000000000e+01,2.300000000000000000e+01,1.673256968929652366e+00,1.300000000000000000e+01
