Feature,B16_Norm_Feature_Value,HepG2_Norm_Feature_Value,PC3_Norm_Feature_Value,HEK293_Norm_Feature_Value,N2a_Norm_Feature_Value,ARPE19_Norm_Feature_Value
18PG,0.0,1.0,0.0,0.0,0.0,0.0
DOPE,1.0,1.0,1.0,1.0,,1.0
DSPC,1.0,0.0,1.0,0.0,0.0,0.0
DOTAP,1.0,1.0,1.0,0.0,0.0,1.0
DDAB,1.0,1.0,1.0,1.0,,
NP_ratio,1.0,,1.0,1.0,0.0,0.5
PEG_(Chol+PEG),0.08890684992020219,0.08890684992020219,0.08890684992020219,0.08890684992020219,0.0,0.08890684992020219
(IL+HL),0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0
HL_(IL+HL),0.17359524897081374,1.0,1.0,0.17359524897081374,1.0,1.0
14PA,,0.0,1.0,0.0,,
Size,,0.0,,,,
