,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI,RLU_PC3
0,1,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,500,440.1666667,-7.193333333,0.292666667,3.0
1,2,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,500,320.9666667,-5.036666667,0.187666667,3.0
3,4,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,500,236.0666667,-4.42,0.359666667,3.0
4,5,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,500,188.6,-3.686666667,0.308666667,3.0
5,6,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,500,248.3,-2.553333333,0.374333333,3.0
6,7,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,500,221.0666667,-1.06,0.257,3.0
7,8,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,500,206.6333333,1.177333333,0.367333333,3.0
8,9,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,500,239.3,-0.068333333,0.301,3.0
12,13,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,500,395.5333333,-9.85,0.062333333,3.0
13,14,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,500,412.0666667,-4.376666667,0.177666667,3.0
15,16,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,500,218.7666667,-4.306666667,0.298,3.0
16,17,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,500,221.7666667,-1.85,0.319666667,3.0
18,19,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,500,227.4,0.728366667,0.285666667,3.0
19,20,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,500,217.1,-0.417,0.286333333,3.0
20,21,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,500,241.5666667,-2.663333333,0.296333333,3.0
24,25,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,500,431.4,-6.4,0.301666667,3.0
28,29,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,500,247.4666667,-2.506666667,0.442333333,3.0
29,30,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,500,230.4,-2.166666667,0.252,3.0
30,31,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,500,215.5666667,0.091,0.283333333,3.0
31,32,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,500,221.9666667,-0.125666667,0.240333333,3.0
32,33,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,500,234.9333333,0.407333333,0.281333333,3.0
36,37,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,500,303.8,-4.81,0.320333333,3.0
39,40,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,500,242.8,1.363333333,0.251,3.0
40,41,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,500,182.1,-1.420666667,0.263,3.0
41,42,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,500,252.6333333,-2.366666667,0.273666667,3.0
42,43,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,500,242.8,-1.566666667,0.252666667,3.0
43,44,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,500,202.9666667,-2.063333333,0.257333333,3.0
44,45,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,500,142.2666667,-0.186,0.268333333,3.0
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,415.6,0.144666667,0.0,3.0
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,420.6,0.213666667,0.0,3.0
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,379.2666667,0.080666667,0.0,3.0
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,430.7333333,0.114666667,0.0,3.0
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,255.0166667,0.3485,0.0,3.0
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,410.2,0.146666667,0.0,3.0
95,96,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,100,363.8,0.148333333,0.0,3.0
105,106,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,100,496.8666667,0.153666667,0.0,3.0
106,107,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,100,526.7333333,0.369,0.0,3.0
107,108,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,100,501.1333333,0.277,0.0,3.0
117,118,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,100,364.1333333,0.201,0.0,3.0
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,409.6,0.290333333,0.0,3.0
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,113.3,0.238333333,0.0,3.0
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,179.0666667,0.428333333,0.0,3.0
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,108.3166667,0.307333333,0.0,3.0
