Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_PC3
49,18PG,0,1,9.3028,3,10,36,1,1859.333333,0.579,-19.73333333,4,0.199600798,20,50.0,54.55401653,2.0
50,18PG,0,1,9.3028,3,10,36,1,487.5,0.492333333,-3.413333333,8,0.199600798,20,50.0,109.1080331,2.0
51,18PG,0,1,9.3028,3,10,36,1,1049.966667,0.215333333,-2.423333333,12,0.199600798,20,50.0,163.6620496,2.0
52,18PG,0,1,9.3028,3,10,36,1,370.2333333,0.760333333,-25.56666667,4,0.199600798,40,50.0,31.1016812,2.0
53,18PG,0,1,9.3028,3,10,36,1,1164.833333,0.693666667,-15.7,8,0.199600798,40,50.0,62.2033624,2.0
54,18PG,0,1,9.3028,3,10,36,1,1153.333333,0.461,-4.87,12,0.199600798,40,50.0,93.30504359,2.0
55,18PG,0,1,9.3028,3,10,36,1,1720.666667,0.716333333,-28.26666667,4,0.199600798,60,50.0,23.28423609,2.0
56,18PG,0,1,9.3028,3,10,36,1,214.1666667,0.147333333,-17.83333333,8,0.199600798,60,50.0,46.56847218,2.0
57,18PG,0,1,9.3028,3,10,36,1,1034.266667,0.683333333,-5.81,12,0.199600798,60,50.0,69.85270826,2.0
58,18PG,0,1,9.3028,3,10,36,1,476.1166667,0.131333333,-6.776666667,4,0.199600798,80,50.0,19.37551353,2.0
59,18PG,0,1,9.3028,3,10,36,1,418.8333333,0.151833333,-5.44,8,0.199600798,80,50.0,38.75102707,2.0
60,18PG,0,1,9.3028,3,10,36,1,268.4333333,0.102,-4.47,12,0.199600798,80,50.0,58.1265406,2.0
61,18PG,0,1,9.3028,3,10,36,1,514.5666667,0.964,-1.836666667,4,0.99009901,20,0.497512438,27.41327923,2.0
62,18PG,0,1,9.3028,3,10,36,1,209.0,0.518,-1.497333333,8,0.99009901,20,0.497512438,54.82655846,2.0
63,18PG,0,1,9.3028,3,10,36,1,296.5333333,0.349333333,-1.007333333,12,0.99009901,20,0.497512438,82.23983768,2.0
64,18PG,0,1,9.3028,3,10,36,1,75.20666667,0.609333333,-1.843333333,4,0.99009901,40,0.497512438,15.12479596,2.0
65,18PG,0,1,9.3028,3,10,36,1,210.5666667,0.548,-0.593366667,8,0.99009901,40,0.497512438,30.24959192,2.0
66,18PG,0,1,9.3028,3,10,36,1,184.1666667,0.46,-7.61,12,0.99009901,40,0.497512438,45.37438788,2.0
67,18PG,0,1,9.3028,3,10,36,1,133.6666667,0.504666667,-4.72,4,0.99009901,60,0.497512438,11.02863487,2.0
68,18PG,0,1,9.3028,3,10,36,1,145.6666667,0.482666667,-3.62,8,0.99009901,60,0.497512438,22.05726974,2.0
69,18PG,0,1,9.3028,3,10,36,1,164.5333333,0.325666667,-4.233333333,12,0.99009901,60,0.497512438,33.08590461,2.0
70,18PG,0,1,9.3028,3,10,36,1,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,8.980554327,2.0
71,18PG,0,1,9.3028,3,10,36,1,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,17.96110865,2.0
72,18PG,0,1,9.3028,3,10,36,1,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,26.94166298,2.0
73,18PG,0,1,9.3028,3,10,36,1,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,27.557724,2.0
74,18PG,0,1,9.3028,3,10,36,1,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,55.115448,2.0
75,18PG,0,1,9.3028,3,10,36,1,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,82.673172,2.0
76,18PG,0,1,9.3028,3,10,36,1,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,15.208104,2.0
